DATE,PCU483111483111,T5YIE,HH,USOIL,RETAILINV,TRUCK,MFS,T5YIEP,HHP,USOILP,RETAILINVP,TRUCKP,MFSP
1/1/2014,263,1.72,4.68,97.45,1.46,114.1,373033,0,0,0,0,0,0
2/1/2014,262.2,1.79,4.84,102.65,1.44,114.2,378581,0.0407,0.0356,0.0534,-0.0137,0.0009,0.0149
3/1/2014,262.1,1.7,4.89,101.49,1.43,114.6,382601,-0.0503,0.0089,-0.0113,-0.0069,0.0035,0.0106
4/1/2014,263.3,1.96,4.55,99.66,1.42,115.6,386689,0.1529,-0.0696,-0.018,-0.007,0.0087,0.0107
5/1/2014,264,1.93,4.72,102.83,1.42,116.1,387100,-0.0153,0.039,0.0318,0,0.0043,0.0011
6/1/2014,264.9,2,4.7,105.45,1.42,116.2,388106,0.0363,-0.0045,0.0255,0,0.0009,0.0026
7/1/2014,262.6,1.97,4.62,97.6,1.43,116.4,388359,-0.015,-0.0177,-0.0744,0.007,0.0017,0.0007
8/1/2014,262.5,1.76,4.43,95.84,1.42,116.4,391305,-0.1066,-0.0414,-0.018,-0.007,0,0.0076
9/1/2014,262.3,1.56,4.63,91.29,1.43,115.9,389860,-0.1136,0.0456,-0.0475,0.007,-0.0043,-0.0037
10/1/2014,261.5,1.53,4.46,80.65,1.43,115.4,390506,-0.0192,-0.037,-0.1166,0,-0.0043,0.0017
11/1/2014,261.1,1.39,4.75,65.95,1.43,115.4,391805,-0.0915,0.065,-0.1823,0,0,0.0033
12/1/2014,260.9,1.27,4.12,53.71,1.44,115.3,388569,-0.0863,-0.133,-0.1856,0.007,-0.0009,-0.0083
1/1/2015,259.9,1.29,3.8,47.69,1.45,113.9,385648,0.0157,-0.0759,-0.1121,0.0069,-0.0121,-0.0075
2/1/2015,267.4,1.49,4.51,49.41,1.46,113.1,385157,0.155,0.1868,0.0361,0.0069,-0.007,-0.0013
3/1/2015,268.1,1.51,3.78,47.48,1.44,113.6,391420,0.0134,-0.1621,-0.0391,-0.0137,0.0044,0.0163
4/1/2015,269.2,1.72,3.96,59.75,1.45,113.4,391356,0.1391,0.0475,0.2584,0.0069,-0.0018,-0.0002
5/1/2015,269.1,1.57,4.29,60.25,1.44,113.9,394718,-0.0872,0.0827,0.0084,-0.0069,0.0044,0.0086
6/1/2015,263.2,1.61,3.46,58.86,1.44,114,395464,0.0255,-0.1937,-0.0231,0,0.0009,0.0019
7/1/2015,258.9,1.36,3.46,46.78,1.44,113.9,398193,-0.1553,0.0002,-0.2052,0,-0.0009,0.0069
8/1/2015,257.9,1.26,3.18,48.14,1.45,113.2,398105,-0.0735,-0.0801,0.0291,0.0069,-0.0061,-0.0002
9/1/2015,252.6,1.07,3.47,45.32,1.47,112.9,396248,-0.1508,0.09,-0.0586,0.0138,-0.0027,-0.0047
10/1/2015,252.7,1.2,3.61,46.37,1.49,112.6,394503,0.1215,0.0401,0.0232,0.0136,-0.0027,-0.0044
11/1/2015,249.2,1.3,2.86,41.66,1.48,113.3,396240,0.0833,-0.2064,-0.1016,-0.0067,0.0062,0.0044
12/1/2015,242.6,1.31,3.04,37.05,1.48,112.8,397052,0.0077,0.0615,-0.1107,0,-0.0044,0.002
1/1/2016,240,1.19,3.99,33.73,1.5,112.5,394749,-0.0916,0.3118,-0.0896,0.0135,-0.0027,-0.0058
2/1/2016,236,1.23,3.39,33.87,1.49,112.2,398105,0.0336,-0.149,0.0042,-0.0067,-0.0027,0.0085
3/1/2016,238.4,1.49,3.53,38.08,1.51,111.9,396911,0.2114,0.0406,0.1243,0.0134,-0.0027,-0.003
4/1/2016,237.1,1.6,3.5,45.88,1.5,112.2,398190,0.0738,-0.0096,0.2048,-0.0066,0.0027,0.0032
5/1/2016,237.7,1.47,3.62,48.85,1.5,112.3,400143,-0.0813,0.0348,0.0647,0,0.0009,0.0049
6/1/2016,239.3,1.38,3.77,48.38,1.49,111.6,404756,-0.0612,0.042,-0.0096,-0.0067,-0.0062,0.0115
7/1/2016,237,1.31,3.34,41.37,1.5,111.8,403730,-0.0507,-0.1133,-0.1449,0.0067,0.0018,-0.0025
8/1/2016,240.9,1.27,3.67,44.8,1.5,111.8,403968,-0.0305,0.0987,0.0829,0,0,0.0006
9/1/2016,240.9,1.45,3.17,48.02,1.49,111.7,405958,0.1417,-0.1357,0.0719,-0.0067,-0.0009,0.0049
10/1/2016,249.1,1.59,3.58,46.74,1.49,112.5,407395,0.0966,0.129,-0.0267,0,0.0072,0.0035
11/1/2016,249.7,1.77,3.71,48.97,1.51,112.8,406061,0.1132,0.0354,0.0477,0.0134,0.0027,-0.0033
12/1/2016,252.8,1.84,3.13,53.87,1.48,113,412610,0.0395,-0.1564,0.1001,-0.0199,0.0018,0.0161
1/1/2017,254.9,1.94,3.19,52.79,1.48,113.2,416081,0.0543,0.0193,-0.02,0,0.0018,0.0084
2/1/2017,258.2,1.89,3.29,53.97,1.48,113.5,415503,-0.0258,0.0308,0.0224,0,0.0027,-0.0014
3/1/2017,256.8,1.77,2.58,50.78,1.49,113.3,414620,-0.0635,-0.2168,-0.0591,0.0068,-0.0018,-0.0021
4/1/2017,259.4,1.81,2.56,49.17,1.48,113.4,416889,0.0226,-0.0078,-0.0317,-0.0067,0.0009,0.0055
5/1/2017,262.2,1.72,3.27,48.61,1.49,113.8,414540,-0.0497,0.2785,-0.0114,0.0068,0.0035,-0.0056
6/1/2017,262.2,1.63,2.82,46.31,1.49,114,416505,-0.0523,-0.138,-0.0473,0,0.0018,0.0047
7/1/2017,264.1,1.67,3.02,50.16,1.49,114.3,416744,0.0245,0.0737,0.0831,0,0.0026,0.0006
8/1/2017,264.3,1.58,2.69,47.07,1.5,115.2,417179,-0.0539,-0.1109,-0.0616,0.0067,0.0079,0.001
9/1/2017,264.7,1.68,2.84,51.61,1.46,116.2,426501,0.0633,0.058,0.0965,-0.0267,0.0087,0.0223
10/1/2017,263.1,1.79,3.58,54.6,1.46,116.2,426933,0.0655,0.2571,0.0579,0,0,0.001
11/1/2017,272.5,1.73,2.89,57.4,1.45,117.4,431158,-0.0335,-0.1906,0.0513,-0.0068,0.0103,0.0099
12/1/2017,270.8,1.86,2.85,60.09,1.45,118.1,433282,0.0751,-0.0165,0.0469,0,0.006,0.0049
1/1/2018,275.1,1.98,2.95,64.75,1.45,118.8,432148,0.0645,0.0363,0.0776,0,0.0059,-0.0026
2/1/2018,275.4,2.04,3.08,61.52,1.45,119.5,434106,0.0303,0.0441,-0.0499,0,0.0059,0.0045
3/1/2018,275.6,1.92,3.27,64.88,1.45,119.6,433232,-0.0588,0.0604,0.0546,0,0.0008,-0.002
4/1/2018,278.3,2.1,2.96,68.54,1.45,120,435610,0.0938,-0.0945,0.0564,0,0.0033,0.0055
5/1/2018,286.6,2.03,3.35,67.03,1.44,121,439996,-0.0333,0.1325,-0.022,-0.0069,0.0083,0.0101
6/1/2018,294.1,2.06,3.23,74.26,1.45,122.9,438191,0.0148,-0.0369,0.1079,0.0069,0.0157,-0.0041
7/1/2018,300.8,2,3.15,68.39,1.45,123.6,440703,-0.0291,-0.0247,-0.079,0,0.0057,0.0057
8/1/2018,300.5,1.98,2.94,69.87,1.46,123.8,439278,-0.01,-0.0648,0.0216,0.0069,0.0016,-0.0032
9/1/2018,301.1,2.03,3.69,73.49,1.46,124.7,438985,0.0253,0.2533,0.0518,0,0.0073,-0.0007
10/1/2018,304.5,1.9,3.49,64.83,1.46,125.7,444038,-0.064,-0.0526,-0.1178,0,0.008,0.0115
11/1/2018,305.2,1.77,3.5,50.63,1.45,125.8,445242,-0.0684,0.0006,-0.219,-0.0068,0.0008,0.0027
12/1/2018,304.5,1.51,3.01,45.4,1.5,125.8,434803,-0.1469,-0.1402,-0.1033,0.0345,0,-0.0234
1/1/2019,307.2,1.7,3.1,53.99,1.49,125.7,440751,0.1258,0.0323,0.1892,-0.0067,-0.0008,0.0137
2/1/2019,306.5,1.84,3.1,57.24,1.5,125.2,439996,0.0824,0.0001,0.0602,0.0067,-0.004,-0.0017
3/1/2019,308.2,1.78,3.34,60.14,1.48,125,447167,-0.0326,0.0763,0.0507,-0.0133,-0.0016,0.0163
4/1/2019,309.5,1.85,3.46,63.43,1.47,124.9,448709,0.0393,0.0346,0.0547,-0.0068,-0.0008,0.0034
5/1/2019,310.2,1.58,3.26,53.34,1.48,125.4,449552,-0.1459,-0.0574,-0.1591,0.0068,0.004,0.0019
6/1/2019,309.3,1.53,3.32,58.15,1.47,125.8,450927,-0.0316,0.0191,0.0902,-0.0068,0.0032,0.0031
7/1/2019,313.7,1.56,3.24,57.83,1.46,125.3,454012,0.0196,-0.0245,-0.0055,-0.0068,-0.004,0.0068
8/1/2019,304.2,1.35,3.26,55.01,1.45,125.3,456500,-0.1346,0.0054,-0.0488,-0.0068,0,0.0055
9/1/2019,305,1.35,3.25,54.27,1.47,125.1,452849,0,-0.0007,-0.0135,0.0138,-0.0016,-0.008
10/1/2019,302.9,1.44,2.8,54.1,1.46,125.4,455486,0.0667,-0.1383,-0.0031,-0.0068,0.0024,0.0058
11/1/2019,316.9,1.5,2.91,55.22,1.44,126,457658,0.0417,0.0371,0.0207,-0.0137,0.0048,0.0048
12/1/2019,320.6,1.68,3.04,61.35,1.44,125.8,458055,0.12,0.0452,0.111,0,-0.0016,0.0009
1/1/2020,320.8,1.6,3.1,51.55,1.43,126,460586,-0.0476,0.0212,-0.1597,-0.0069,0.0016,0.0055
2/1/2020,304.1,1.33,2.27,45.26,1.43,125.6,459610,-0.1688,-0.2671,-0.122,0,-0.0032,-0.0021
3/1/2020,302.1,0.49,2.2,20.1,1.52,124.7,434281,-0.6316,-0.0347,-0.5559,0.0629,-0.0072,-0.0551
4/1/2020,286.9,0.72,2.93,19.045,1.67,123.2,379892,0.4694,0.334,-0.0525,0.0987,-0.012,-0.1252
5/1/2020,287,0.83,2.83,35.185,1.34,120.6,444631,0.1528,-0.0352,0.8475,-0.1976,-0.0211,0.1704
6/1/2020,287.8,1.16,2.95,39.825,1.22,121.4,475723,0.3976,0.0441,0.1319,-0.0896,0.0066,0.0699
7/1/2020,288.6,1.4,2.99,40.44,1.21,123.8,481303,0.2069,0.0148,0.0154,-0.0082,0.0198,0.0117
8/1/2020,288.8,1.69,3.35,42.791,1.22,124.5,483422,0.2071,0.1181,0.0581,0.0083,0.0057,0.0044
9/1/2020,288.2,1.5,3.06,39.918,1.22,124.5,493411,-0.1124,-0.0867,-0.0671,0,0,0.0207
10/1/2020,284.3,1.59,3.73,35.72,1.23,126.2,492938,0.06,0.2211,-0.1052,0.0082,0.0137,-0.001
11/1/2020,281.1,1.68,3.42,45.045,1.26,127.5,487017,0.0566,-0.0842,0.2611,0.0244,0.0103,-0.012
12/1/2020,284,1.95,4.22,48.181,1.28,128.6,485541,0.1607,0.2341,0.0696,0.0159,0.0086,-0.003
1/1/2021,286.3,2.21,4.6,52.169,1.2,129.8,518547,0.1333,0.0904,0.0828,-0.0625,0.0093,0.068
2/1/2021,294.3,2.39,4.73,61.53,1.23,131.8,503981,0.0814,0.0273,0.1794,0.025,0.0154,-0.0281
3/1/2021,299.9,2.54,4.63,59.43,1.1,133.8,559871,0.0628,-0.02,-0.0341,-0.1057,0.0152,0.1109
4/1/2021,309.5,2.57,5,63.459,1.07,136,562269,0.0118,0.0803,0.0678,-0.0273,0.0164,0.0043
5/1/2021,322.9,2.57,5.21,67,1.08,138.1,550781,0,0.0417,0.0558,0.0093,0.0154,-0.0204
6/1/2021,336.9,2.47,5.07,73.495,1.08,139.3,554388,-0.0389,-0.0271,0.0969,0,0.0087,0.0065
7/1/2021,340.299,2.56,5.04,73.659,1.11,140.718,543191,0.0364,-0.0059,0.0022,0.0278,0.0102,-0.0202
8/1/2021,334.857,2.48,4.98,68.535,1.1,141.892,550293,-0.0313,-0.0112,-0.0696,-0.009,0.0083,0.0131
9/1/2021,346.891,2.51,5.38,75.048,1.09,143.747,554233,0.0121,0.0789,0.095,-0.0091,0.0131,0.0072
10/1/2021,356.86,2.89,5.73,83.284,1.07,146.798,565388,0.1514,0.0648,0.1097,-0.0183,0.0212,0.0201
11/1/2021,353.44,2.8,5.53,66.945,1.08,150.343,569560,-0.0311,-0.0346,-0.1962,0.0093,0.0241,0.0074
12/1/2021,365.693,2.87,5.54,75.351,1.17,151.551,552629,0.025,0.0013,0.1256,0.0833,0.008,-0.0297
1/1/2022,369.291,2.82,6.39,88.127,1.13,153.969,583981,-0.0174,0.1552,0.1696,-0.0342,0.016,0.0567
