Date,Loaded Imports,Empty Imports,Total Imports,Loaded Exports,Empty Exports,Total Exports,Total TEUs,Prior Year Change
Jan-00,"185,913.65","8,265.45","194,179.10","73,881.05","90,174.35","164,055.40","358,234.50",33.10%
Feb-00,"167,829.75","8,059.50","175,889.25","76,561.15","84,474.80","161,035.95","336,925.20",27.73%
Mar-00,"180,682.35","7,755.60","188,437.95","82,893.05","85,936.30","168,829.35","357,267.30",29.59%
Apr-00,"211,262.30","8,893.90","220,156.20","85,232.40","101,643.10","186,875.50","407,031.70",43.96%
May-00,"204,191.85","13,556.85","217,748.70","81,592.00","108,694.10","190,286.10","408,034.80",21.45%
Jun-00,"211,118.50","8,952.05","220,070.55","79,134.60","103,352.25","182,486.85","402,557.40",26.92%
Jul-00,"232,730.40","10,964.60","243,695.00","80,864.10","116,172.00","197,036.10","440,731.10",33.46%
Aug-00,"235,529.25","15,021.25","250,550.50","87,338.50","126,155.80","213,494.30","464,044.80",33.32%
Sep-00,"220,572.95","7,274.70","227,847.65","78,539.95","115,712.00","194,251.95","422,099.60",25.28%
Oct-00,"250,875.35","9,593.25","260,468.60","93,795.30","127,238.20","221,033.50","481,502.10",24.37%
Nov-00,"199,387.15","10,821.00","210,208.15","82,848.85","120,971.60","203,820.45","414,028.60",19.04%
Dec-00,"192,452.80","10,567.45","203,020.25","81,969.95","101,981.30","183,951.25","386,971.50",15.81%
Jan-01,"201,491.75","10,830.85","212,322.60","82,384.40","102,286.40","184,670.80","396,993.40",10.82%
Feb-01,"154,024.25","9,307.15","163,331.40","80,339.60","86,759.80","167,099.40","330,430.80",-1.93%
Mar-01,"206,780.10","10,503.45","217,283.55","88,237.80","96,114.15","184,351.95","401,635.50",12.42%
Apr-01,"210,732.05","10,732.65","221,464.70","88,057.15","107,907.95","195,965.10","417,429.80",2.55%
May-01,"203,241.95","10,617.95","213,859.90","87,323.50","98,827.75","186,151.25","400,011.15",-1.97%
Jun-01,"232,201.85","10,851.15","243,053.00","88,133.45","104,058.90","192,192.35","435,245.35",8.12%
Jul-01,"238,957.60","11,385.95","250,343.55","86,878.90","114,633.20","201,512.10","451,855.65",2.52%
Aug-01,"252,137.20","9,567.40","261,704.60","87,938.95","127,415.45","215,354.40","477,059.00",2.80%
Sep-01,"267,579.75","7,978.65","275,558.40","81,806.15","127,289.70","209,095.85","484,654.25",14.82%
Oct-01,"265,721.70","9,231.40","274,953.10","90,827.65","139,239.35","230,067.00","505,020.10",4.88%
Nov-01,"234,132.15","7,597.05","241,729.20","89,680.80","124,094.75","213,775.55","455,504.75",10.02%
Dec-01,"216,656.70","9,228.80","225,885.50","86,186.35","115,608.30","201,794.65","427,680.15",10.52%
Jan-02,"210,394.25","10,415.00","220,809.25","83,122.55","104,304.65","187,427.20","408,236.45",2.83%
Feb-02,"234,405.15","9,761.60","244,166.75","92,400.75","98,440.20","190,840.95","435,007.70",31.65%
Mar-02,"218,697.50","11,256.20","229,953.70","92,662.25","113,949.75","206,612.00","436,565.70",8.70%
Apr-02,"258,026.40","9,346.35","276,372.75","91,114.35","125,812.15","216,926.50","484,299.25",16.02%
May-02,"274,449.30","9,935.20","284,384.50","96,684.70","150,145.00","246,829.70","531,214.20",32.80%
Jun-02,"291,966.30","9,480.65","301,446.95","95,285.10","139,729.45","235,014.55","536,461.50",23.25%
Jul-02,"260,811.15","11,120.95","271,932.10","83,739.65","140,018.70","223,758.35","495,690.45",9.70%
Aug-02,"327,471.85","12,217.40","339,689.25","91,421.45","174,383.10","265,804.55","605,493.80",26.92%
Sep-02,"320,577.65","10,388.80","330,966.45","89,503.25","168,772.45","258,275.70","589,242.15",21.58%
Oct-02,"252,909.65","12,307.70","265,217.35","70,208.40","135,544.85","205,753.25","470,970.60",-6.74%
Nov-02,"291,571.45","9,760.65","301,332.10","95,772.30","148,925.10","244,647.40","545,979.50",19.86%
Dec-02,"291,130.50","14,968.05","306,098.55","111,941.95","148,661.35","260,603.30","566,701.85",32.51%
Jan-03,"264,680.65","11,800.90","276,481.55","105,485.10","136,571.75","242,056.85","518,538.40",27.02%
Feb-03,"270,731.25","4,008.25","274,739.50","100,162.50","166,236.80","266,399.30","541,138.80",24.40%
Mar-03,"293,532.75","4,962.25","298,495.00","107,152.00","157,924.25","265,076.25","563,571.25",29.09%
Apr-03,"319,620.55","7,087.50","326,708.05","97,540.75","164,786.00","262,326.75","589,034.80",21.63%
May-03,"340,164.70","8,110.35","348,275.05","102,253.50","201,377.70","303,631.20","651,906.25",22.72%
Jun-03,"301,151.35","4,740.50","305,891.85","89,532.25","168,362.10","257,894.35","563,786.20",5.09%
Jul-03,"326,753.45","4,986.85","331,740.30","97,374.50","186,599.50","283,974.00","615,714.30",24.21%
Aug-03,"354,433.85","5,611.25","360,045.10","88,080.75","202,843.55","290,924.30","650,969.40",7.51%
Sep-03,"342,068.00","8,407.60","350,475.60","83,858.00","188,395.60","272,253.60","622,729.20",5.68%
Oct-03,"365,198.85","6,912.20","372,111.05","93,824.25","205,171.55","298,995.80","671,106.85",42.49%
Nov-03,"334,215.45","4,162.75","338,378.20","98,896.00","190,512.85","289,408.85","627,787.05",14.98%
Dec-03,"301,922.40","5,061.05","306,983.45","99,185.00","156,489.15","255,674.15","562,657.60",-0.71%
Jan-04,"340,907.80","4,503.75","345,411.55","97,093.25","173,582.15","270,675.40","616,086.95",18.81%
Feb-04,"242,928.30","4,781.00","247,709.30","95,388.25","139,276.15","234,664.40","482,373.70",-10.86%
Mar-04,"334,547.75","6,200.25","340,748.00","115,026.00","155,842.35","270,868.35","611,616.35",8.53%
Apr-04,"339,942.90","5,395.25","345,338.15","102,541.00","169,017.90","271,558.90","616,897.05",4.73%
May-04,"361,413.30","5,714.70","367,128.00","100,912.50","192,798.65","293,711.15","660,839.15",1.37%
Jun-04,"340,625.20","6,430.55","347,055.75","89,709.75","175,315.30","265,025.05","612,080.80",8.57%
Jul-04,"361,584.30","4,316.00","365,900.30","95,940.75","214,558.40","310,499.15","676,399.45",9.86%
Aug-04,"339,428.10","4,680.50","344,108.60","86,693.25","196,586.95","283,280.20","627,388.80",-3.62%
Sep-04,"318,722.15","5,623.55","324,345.70","76,129.00","192,306.10","268,435.10","592,780.80",-4.81%
Oct-04,"347,354.60","5,363.25","352,717.85","91,494.50","198,723.55","290,218.05","642,935.90",-4.20%
Nov-04,"335,855.40","4,195.00","340,050.40","90,283.25","200,059.20","290,342.45","630,392.85",0.42%
Dec-04,"277,110.10","6,157.10","283,267.20","88,668.50","179,712.60","268,381.10","551,648.30",-1.96%
Jan-05,"298,435.35","6,666.85","305,102.20","83,252.25","201,823.95","285,076.20","590,178.40",-4.21%
Feb-05,"289,415.40","4,607.05","294,022.45","87,297.75","173,144.85","260,442.60","554,465.05",14.95%
Mar-05,"255,389.90","6,783.45","262,173.05","107,452.50","155,393.85","262,846.35","525,019.40",-14.16%
Apr-05,"329,094.20","6,992.70","336,086.90","107,048.50","193,837.35","300,885.85","636,972.75",3.25%
May-05,"313,026.85","6,445.55","319,472.40","105,220.25","185,931.25","291,151.50","610,623.90",-7.60%
Jun-05,"334,823.50","5,758.45","340,581.95","96,659.25","196,807.25","293,466.50","634,048.45",3.59%
Jul-05,"352,416.80","4,299.15","356,715.95","97,547.50","194,116.20","291,663.70","648,379.65",-4.14%
Aug-05,"343,029.25","6,625.25","349,654.50","95,061.25","206,838.70","301,899.95","651,554.45",3.85%
Sep-05,"350,754.85","6,157.55","356,912.40","92,992.50","213,590.35","306,582.85","663,495.25",11.93%
Oct-05,"368,524.20","6,526.65","375,050.85","98,189.00","234,500.25","332,689.25","707,740.10",10.08%
Nov-05,"325,089.90","6,946.65","332,036.55","98,268.25","210,553.15","308,821.40","640,857.95",1.66%
Dec-05,"321,326.15","6,917.95","328,244.10","102,241.50","190,803.50","293,045.00","621,289.10",12.62%
Jan-06,"321,696.70","5,312.40","327,009.10","100,408.25","192,858.00","293,266.25","620,275.35",5.10%
Feb-06,"247,693.00","4,118.85","251,811.85","96,481.25","132,521.85","229,003.10","480,814.95",-13.28%
Mar-06,"340,793.55","4,607.50","345,401.05","128,240.50","197,308.25","325,548.75","670,949.80",27.80%
Apr-06,"365,187.90","4,982.70","370,170.60","113,398.75","189,824.25","303,223.00","673,393.60",5.72%
May-06,"362,494.60","6,368.95","368,863.55","118,907.25","208,182.50","327,089.75","695,953.30",13.97%
Jun-06,"380,852.50","7,104.35","387,956.85","115,184.65","223,730.00","338,914.65","726,871.50",14.64%
Jul-06,"404,664.55","8,692.70","413,357.25","124,134.25","223,834.85","347,969.10","761,326.35",17.42%
Aug-06,"405,303.05","8,701.25","414,004.30","119,220.25","257,502.00","376,722.25","790,726.55",21.36%
Sep-06,"425,473.75","5,809.15","431,282.90","124,195.75","236,126.00","360,321.75","791,604.65",19.31%
Oct-06,"412,554.40","9,139.30","421,693.70","131,335.25","247,034.90","378,370.15","800,063.85",13.04%
Nov-06,"382,404.65","7,803.85","390,208.50","122,646.00","232,758.60","355,404.60","745,613.10",16.35%
Dec-06,"359,066.60","6,524.15","365,590.75","129,467.75","217,201.50","346,669.25","712,260.00",14.64%
Jan-07,"360,191.45","6,904.20","367,095.65","124,433.25","200,073.10","324,506.35","691,602.00",11.50%
Feb-07,"353,009.95","5,590.80","358,600.75","118,952.75","171,689.50","290,642.25","649,243.00",35.03%
Mar-07,"318,279.30","5,192.80","323,472.10","127,945.75","178,521.30","306,467.05","629,939.15",-6.11%
Apr-07,"368,682.95","6,828.55","375,511.50","123,079.00","181,066.75","304,145.75","679,657.25",0.93%
May-07,"361,683.05","7,191.25","368,874.30","134,349.50","178,320.75","312,670.25","681,544.55",-2.07%
Jun-07,"387,314.30","5,872.80","393,187.10","135,963.50","187,020.15","322,983.65","716,170.75",-1.47%
Jul-07,"382,247.05","5,326.20","387,573.25","129,591.75","199,154.40","328,746.15","716,319.40",-5.91%
Aug-07,"374,225.90","4,801.20","379,027.10","137,352.00","198,331.10","335,683.10","714,710.20",-9.61%
Sep-07,"403,658.80","4,255.95","407,914.75","135,716.70","198,932.05","334,648.75","742,563.50",-6.20%
Oct-07,"385,529.75","8,418.20","393,947.95","146,906.75","194,691.55","341,598.30","735,546.25",-8.06%
Nov-07,"375,271.45","7,969.30","383,240.75","145,227.75","207,871.65","353,099.40","736,340.15",-1.24%
Dec-07,"340,075.65","6,064.80","346,140.45","148,124.00","167,137.85","315,261.85","661,402.30",-7.14%
Jan-08,"343,529.20","3,612.75","347,141.95","147,949.75","157,144.50","305,094.25","652,236.20",-5.69%
Feb-08,"318,444.95","4,533.60","322,978.55","154,127.15","136,620.00","290,747.15","613,725.70",-5.47%
Mar-08,"295,955.60","5,332.70","301,288.30","154,980.30","127,654.40","282,634.70","583,923.00",-7.30%
Apr-08,"328,403.40","3,437.25","331,840.65","147,056.25","126,569.45","273,625.70","605,466.35",-10.92%
May-08,"371,026.95","5,760.00","376,786.95","164,061.75","145,999.10","310,060.85","686,847.80",0.78%
Jun-08,"339,102.25","7,689.30","346,791.55","150,852.15","134,636.40","285,488.55","632,280.10",-11.71%
Jul-08,"367,496.50","9,449.35","376,945.85","173,650.50","147,562.95","321,213.45","698,159.30",-2.54%
Aug-08,"401,137.35","7,098.95","408,236.30","175,262.50","173,570.05","348,832.55","757,068.85",5.93%
Sep-08,"367,159.25","6,192.00","373,351.25","143,470.75","176,067.90","319,538.65","692,889.90",-6.69%
Oct-08,"370,986.90",6286.05,"377,272.95","134,784.50","194,250.80","329,035.30","706,308.25",-3.98%
Nov-08,"338,905.30","6,859.55","345,764.85","126,602.25","187,679.40","314,281.65","660,046.50",-10.36%
Dec-08,"296,442.70","6,317.50","302,760.20","109,704.50","148,568.55","258,273.05","561,033.25",-15.18%
Jan-09,"317,493.10","2,886.00","320,379.10","104,503.25","162,121.85","266,625.10","587,004.20",-10.00%
Feb-09,"206,034.50","2,144.00","208,178.50","111,595.25","94,136.55","205,731.80","413,910.30",-32.56%
Mar-09,"277,569.80","4,123.35","281,693.15","139,774.50","105,019.40","244,793.90","526,487.05",-9.84%
Apr-09,"279,194.15","2,480.10","281,674.25","140,829.00","109,620.90","250,449.90","532,124.15",-12.11%
May-09,"304,109.90","2,054.85","306,164.75","152,471.75","116,191.30","268,663.05","574,827.80",-16.31%
Jun-09,"281,175.05","2,807.75","283,982.80","137,214.40","130,482.50","267,696.90","551,679.70",-12.75%
Jul-09,"305,225.75","2,682.00","307,907.75","138,268.75","130,026.75","268,295.50","576,203.25",-17.47%
Aug-09,"323,629.20","3,276.55","326,905.75","150,341.50","135,334.25","285,675.75","612,581.50",-19.09%
Sep-09,"309,078.30","4,208.65","313,286.95","140,271.00","129,999.05","270,270.05","583,557.00",-15.78%
Oct-09,"338,734.75","3,677.85","342,412.60","150,656.75","154,354.35","305,011.10","647,423.70",-8.34%
Nov-09,"298,777.40","4,717.35","303,494.75","149,147.90","127,563.50","276,711.40","580,206.15",-12.10%
Dec-09,"283,364.40","5,646.45","289,010.85","153,836.50","120,142.40","273,978.90","562,989.75",0.35%
Jan-10,"296,304.95","6,387.95","302,692.90","141,243.50","129,032.75","270,276.25","572,969.15",-2.39%
Feb-10,"267,361.15","7,578.65","274,939.80","147,925.60","102,593.20","250,518.80","525,458.60",26.95%
Mar-10,"269,634.10","12,114.70","281,748.80","161,816.75","106,684.25","268,501.00","550,249.80",4.51%
Apr-10,"302,224.60","9,118.45","311,343.05","158,338.00","125,602.65","283,940.65","595,283.70",11.87%
May-10,"342,171.10","9,566.25","351,737.35","160,621.25","177,062.10","337,683.35","689,420.70",19.94%
Jun-10,"371,888.60","7,078.45","378,967.05","154,558.00","196,792.80","351,350.80","730,317.85",32.38%
Jul-10,"369,388.90","6,412.00","375,800.90","146,368.75","208,575.95","354,944.70","730,745.60",26.82%
Aug-10,"399,150.65","7,540.75","406,691.40","147,608.75","209,537.05","357,145.80","763,837.20",24.69%
Sep-10,"373,249.35","6,535.10","379,784.45","139,800.25","192,028.30","331,828.55","711,613.00",21.94%
Oct-10,"349,545.40","8,695.25","358,240.65","151,048.75","173,095.10","324,143.85","682,384.50",5.40%
Nov-10,"333,710.15","10,614.30","344,324.45","170,319.25","152,326.80","322,646.05","666,970.50",14.95%
Dec-10,"299,304.45","13,556.25","312,860.70","161,625.00","138,166.00","299,791.00","612,651.70",8.82%
Jan-11,"338,606.65","16,512.60","355,119.25","159,050.75","146,347.80","305,398.55","660,517.80",15.28%
Feb-11,"275,886.50","13,276.55","289,163.05","150,357.00","115,392.75","265,749.75","554,912.80",5.61%
